Alert_ID,Affected_Routes,Cause,Summary
90941,Route 70,CONSTRUCTION,Stop #9190 Eastlake Ave E & E Louisa St (SB) relocated from Tue Jul 7 through Fri Aug 14 due to construction.
91031,Route 2,CONSTRUCTION,Stop #2600 6th Ave W & W Blaine St (SB) closed from Sat Jul 18 to Sun Aug 2 at 4:00 AM due to construction.
91110,Route 70,CONSTRUCTION,Stop #9150 Eastlake Ave E & E Allison St (SB) relocated from Mon Jul 13 through Fri Aug 7 due to construction.
91276,Route 160,CONSTRUCTION,Stop #57250 108th Ave SE & SE 192nd St (NB) relocated from Mon Jun 15 through Fri Aug 21 weekdays only due to construction.
91279,Route 160,CONSTRUCTION,Stop #57400 104th Ave SE & SE 228th St (SB) and Stop #57160 104th Ave SE & SE 228th St (NB) relocated through Fri Aug 28 due to construction.
91390,"Route 32, Route 31, Route 65",CONSTRUCTION,Stop #9610 Roosevelt Way NE & NE 42nd St (SB) closed from Wed Jul 15 through Mon Aug 10 due to construction.
91428,Route 348,MAINTENANCE,Stop #39270 15th Ave NE & NE 130th St (NB) closed from Mon Jul 20 to Fri Jul 31 from 7:00 AM to 5:00 PM Weekdays only due to sidewalk repair.
91547,"Route 203, Route 271",CONSTRUCTION,Stop #64970 SE Newport Way & 152nd Ave SE (EB) relocated until Sat Aug 15 at 9:00 AM due to construction.
91550,Route 7,CONSTRUCTION,Route 7 will be rerouted in the Rainier Beach Area from Sat Jul 18 to Sun Aug 9 every Saturday and Sunday from 7:00 AM to 7:00 PM due to construction.
91563,Route 160,CONSTRUCTION,Stop #59934 SR 515 & S 15th St (SB) relocated from Mon Jul 20 through Sat Aug 15 due to construction.
91564,"Route 256, Route 322, Route 70, Route 303",CONSTRUCTION,Stop #10305 Fairview Ave N & Harrison St (NB) relocated from Mon Jul 20 to Mon Aug 10 at 12:00 AM due to construction.
91574,"Route 550, Route 271, Route 556, Route 566",CONSTRUCTION,"Route 271, ST 550, ST 556 and ST 566 will be rerouted around Bellevue Transit Center from Mon Jul 27 through Fri Aug 28 due to construction."
91583,C Line,CONSTRUCTION,Stop #19862 SW Alaska St & California Ave SW - Bay 1 (EB) closed from Mon Jul 27 to Fri Jul 31 from 7:00 AM to 5:00 PM daily due to construction.
91625,Route 160,CONSTRUCTION,Stop #58210 Central Ave S & S 266th St (SB) and Stop #57960 Central Ave S & S 266th St (NB) closed through Fri Oct 2 due to construction.
91660,Route 160,UNKNOWN_CAUSE,Stop #59949 Talbot Rd S & S Carr Rd (SB) and Stop #60361 Talbot Rd S & S Carr Rd (NB) closed from Mon Jul 20 through Sat Aug 29.
91685,Route 106,CONSTRUCTION,Stop #56373 Renton Ave S & 68th Ave S (SB) relocated from Mon Jul 20 through Mon Oct 26 due to construction.
91686,Route 107,UNKNOWN_CAUSE,Stop #55371 68th Ave S & S 118th St (SB) and Stop #55378 68th Ave S & S 118th St (NB) relocated from Mon Jul 20 through Mon Oct 26.
91687,Route 107,CONSTRUCTION,Stop #55373 68th Ave S & S 122nd St (SB) and Stop #55376 68th Ave S & S 122nd St (NB) relocated from Mon Jul 20 through Mon Oct 26 due to construction.
91688,Route 107,CONSTRUCTION,Stop #55375 S 124th St & 67th Ave S (WB) and Stop #55374 S 124th St & 67th Ave S (EB) relocated from Mon Jul 20 through Mon Oct 26 due to construction.
91721,Route 271,CONSTRUCTION,Stop #65328 SE Eastgate Way & 158th Ave SE (EB) closed from Mon Jul 20 to Mon Aug 3 from 7:00 AM to 5:00 PM daily due to construction.
91722,Route 271,CONSTRUCTION,Stop #65329 SE Eastgate Way & 158th Ave SE (WB) closed from Mon Jul 20 to Mon Aug 3 from 7:00 AM to 5:00 PM daily due to construction.
91830,"Route 65, Route 75",CONSTRUCTION,Stop #9670 NE 125th St & Lake City Way NE (EB) closed beginning Thu Jul 23 until further notice due to construction.
92010,"Route 542, Route 545",CONSTRUCTION,Stop #73848 NE 85th St & 154th Ave NE (EB) closed from Mon Jul 27 to Thu Aug 13 from 7:30 AM to 3:00 PM daily due to construction.
92036,"Route 187, Route 183",CONSTRUCTION,Routes 183 and 187 will be rerouted around the Federal Way Downtown Station from Mon Jul 27 to Thu Jul 30 8:00 PM to 5:00 AM nightly due to construction.
92086,Route 348,CONSTRUCTION,Stop #38890 15th Ave NE & NE 130th St (SB) closed from Mon Jul 27 through Thu Aug 6 due to construction.
92090,Route 901,CONSTRUCTION,DART 901 will be rerouted around the Federal Way Downtown Station due to construction.
92095,Route 11,CONSTRUCTION,Stop #12470 43rd Ave E & E Madison St (NB) closed from 5:00 AM to 3:00 PM on Thu Jul 30 due to construction.
92121,"Route 345, Route 5",UNKNOWN_CAUSE,Stop #6840 Greenwood Ave N & N 134th St (NB) closed from Mon Jul 27 through Fri Aug 28.
92122,Route 21,UNKNOWN_CAUSE,Route 21 to Westwood Village is serving Stop #30636 4th Ave S & I-90 Ramp (SB).
92148,"C Line, Route 125, H Line",MAINTENANCE,Stop #1559 Alaskan Way & Columbia St (NB) closed from 6:00 PM to 10:00 PM on Thu Jul 30 due to utility work.
92167,"Route 48, Route 43, Route 988",CONSTRUCTION,Stop #29251 24th Ave E & E Galer St (SB) closed from Mon Jul 27 to Fri Jul 31 9:00 AM to 3:00 PM daily due to construction.
92208,"Route 56, Route 124, Route 27, Route 570, Route 40, Route 132, Route 17, Route 28, H Line, Route 57, Route 24, Route 33, Route 5, Route 21, Route 62, Route 131",CONSTRUCTION,Stop #590 3rd Ave & Pine St (NB) relocated from Thu Jul 30 to Wed Aug 5 7:00 AM to 5:00 PM weekdays only due to construction.
92213,"Route 56, E Line, D Line, Route 57, C Line, Route 21",CONSTRUCTION,"Stop #431 3rd Ave & Pike St (SB) closed Thu Jul 30 to Wed Aug 5 from 7:00 AM to 5:00 PM, weekdays only, due to construction."
92215,"E Line, D Line, Route 1, Route 4, Route 2, Route 3, Route 13, Route 36, C Line, Route 125, Route 7, Route 14, Route 70",CONSTRUCTION,Stop #558 3rd Ave & Seneca St (NB) closed from Thu Jul 30 to Wed Aug 5 7:00 AM to 5:00 PM weekdays only due to construction.
92216,"Route 245, Route 255",CONSTRUCTION,Stop #72163 6th St S & 5th Ave S (NB) closed from 7:00 AM to 5:00 PM on Thu Jul 30 due to construction.
92220,Route 226,CONSTRUCTION,Stop #71661 SE 24th St & 161st Ave SE (EB) and Stop #71675 SE 24th St & 161st Ave SE (WB) relocated from Thu Jul 30 to Fri Jul 31 9:00 AM to 3:00 PM daily due to construction.
92223,Route 914,MAINTENANCE,Stop #57218 Scenic Vista Rd & SE 264th St (SB) closed due to street repair work.
92297,Route 222,CONSTRUCTION,Stop #71250 NE 24th St & 175th Ave NE (WB) closed from Wed Jul 29 to Thu Jul 30 7:00 AM to 4:30 PM daily due to construction.
92333,South Lake Union Streetcar,UNKNOWN_CAUSE,Service on the South Lake Union Streetcar is reduced with trips operating approximately every 18 minutes.
92335,Route 24,POLICE_ACTIVITY,Expect significant delays on Route 24 today due to an emergency response near 35th Ave W and W McGraw St.
