Fetch_Time,Alert_ID,Status,Affected_Routes,Cause,Summary
2026-08-06 12:44:03,91276,Active,Route 160,CONSTRUCTION,Stop #57250 108th Ave SE & SE 192nd St (NB) relocated from Mon Jun 15 through Fri Aug 21 weekdays only due to construction.
2026-08-06 12:44:03,91279,Active,Route 160,CONSTRUCTION,Stop #57400 104th Ave SE & SE 228th St (SB) and Stop #57160 104th Ave SE & SE 228th St (NB) relocated through Fri Aug 28 due to construction.
2026-08-06 12:44:03,91390,Active,"Route 65, Route 31, Route 32",CONSTRUCTION,Stop #9610 Roosevelt Way NE & NE 42nd St (SB) closed from Wed Jul 15 through Mon Aug 10 due to construction.
2026-08-06 12:44:03,91547,Active,"Route 203, Route 271",CONSTRUCTION,Stop #64970 SE Newport Way & 152nd Ave SE (EB) relocated until Sat Aug 15 at 9:00 AM due to construction.
2026-08-06 12:44:03,91550,Active,Route 7,CONSTRUCTION,Route 7 will be rerouted in the Rainier Beach Area from Sat Jul 18 to Sun Aug 9 every Saturday and Sunday from 7:00 AM to 7:00 PM due to construction.
2026-08-06 12:44:03,91563,Active,Route 160,CONSTRUCTION,Stop #59934 SR 515 & S 15th St (SB) relocated from Mon Jul 20 through Sat Aug 15 due to construction.
2026-08-06 12:44:03,91574,Active,"Route 550, Route 556, Route 566, Route 271",CONSTRUCTION,"Route 271, ST 550, ST 556 and ST 566 will be rerouted around Bellevue Transit Center from Mon Jul 27 through Fri Aug 28 due to construction."
2026-08-06 12:44:03,91625,Active,Route 160,CONSTRUCTION,Stop #58210 Central Ave S & S 266th St (SB) and Stop #57960 Central Ave S & S 266th St (NB) closed through Fri Oct 2 due to construction.
2026-08-06 12:44:03,91660,Active,Route 160,UNKNOWN_CAUSE,Stop #59949 Talbot Rd S & S Carr Rd (SB) and Stop #60361 Talbot Rd S & S Carr Rd (NB) closed from Mon Jul 20 through Sat Aug 29.
2026-08-06 12:44:03,91685,Active,Route 106,CONSTRUCTION,Stop #56373 Renton Ave S & 68th Ave S (SB) relocated from Mon Jul 20 through Mon Oct 26 due to construction.
2026-08-06 12:44:03,91686,Active,Route 107,UNKNOWN_CAUSE,Stop #55371 68th Ave S & S 118th St (SB) and Stop #55378 68th Ave S & S 118th St (NB) relocated from Mon Jul 20 through Mon Oct 26.
2026-08-06 12:44:03,91687,Active,Route 107,CONSTRUCTION,Stop #55373 68th Ave S & S 122nd St (SB) and Stop #55376 68th Ave S & S 122nd St (NB) relocated from Mon Jul 20 through Mon Oct 26 due to construction.
2026-08-06 12:44:03,91688,Active,Route 107,CONSTRUCTION,Stop #55375 S 124th St & 67th Ave S (WB) and Stop #55374 S 124th St & 67th Ave S (EB) relocated from Mon Jul 20 through Mon Oct 26 due to construction.
2026-08-06 12:44:03,91830,Active,"Route 75, Route 65",CONSTRUCTION,Stop #9670 NE 125th St & Lake City Way NE (EB) closed beginning Thu Jul 23 until further notice due to construction.
2026-08-06 12:44:03,92006,Active,Route 45,CONSTRUCTION,Stop #19210 NW 85th St & Earl Ave NW (EB) relocated from Sat Aug 1 at 8AM to Sun Aug 9 at 6:00 PM due to construction.
2026-08-06 12:44:03,92010,Active,"Route 545, Route 542",CONSTRUCTION,Stop #73848 NE 85th St & 154th Ave NE (EB) closed from Mon Jul 27 to Thu Aug 13 from 7:30 AM to 3:00 PM daily due to construction.
2026-08-06 12:44:03,92086,Active,Route 348,CONSTRUCTION,Stop #38890 15th Ave NE & NE 130th St (SB) closed from Mon Jul 27 through Thu Aug 6 due to construction.
2026-08-06 12:44:03,92090,Active,Route 901,CONSTRUCTION,DART 901 will be rerouted around the Federal Way Downtown Station due to construction.
2026-08-06 12:44:03,92121,Active,"Route 5, Route 345",UNKNOWN_CAUSE,Stop #6840 Greenwood Ave N & N 134th St (NB) closed from Mon Jul 27 through Fri Aug 28.
2026-08-06 12:44:03,92223,Active,Route 914,MAINTENANCE,Stop #57218 Scenic Vista Rd & SE 264th St (SB) closed due to street repair work.
2026-08-06 12:44:03,92239,Active,Route 118,CONSTRUCTION,Route 118 is rerouted in both directions off Vashon Hwy SW and 99th Ave SW between SW 216th St and SW 228th St from Thu Aug 6 at 8:00 AM to Tue Sep 22 at 4:00 PM due to bridge construction.
2026-08-06 12:44:03,92249,Active,Route 106,OTHER_CAUSE,Stop #55210 Renton Ave S & 54th Ave S (NB) and Stop #56290 Renton Ave S & 54th Ave S (SB) closed beginning Sat Aug 1 due to permanent bus stop closure.
2026-08-06 12:44:03,92270,Active,"Route 255, Route 545, Route 542",CONSTRUCTION,Stop #71355 SR 520 & Evergreen Point Rd (WB) closed from Fri Aug 7 at 9:00 PM to Sat Aug 8 at 4:00 AM due to construction.
2026-08-06 12:44:03,92275,Active,Route 208,DEMONSTRATION,Route 208 will be rerouted off Front St N from Sat Aug 1 to Sun Aug 30 every Saturday and Sunday from 8:00 AM to 10:00 PM during the Front Street Eatery.
2026-08-06 12:44:03,92285,Active,Route 271,DEMONSTRATION,Route 271 will be rerouted off Front St N from Sat Aug 1 to Sun Aug 30 every Saturday and Sunday from 8:00 AM to 10:00 PM during the Front Street Eatery.
2026-08-06 12:44:03,92319,Active,D Line,CONSTRUCTION,Stop #13660 15th Ave NW & NW 70th St (SB) relocated from 5:00 AM to 6:00 PM on Sat Aug 8 due to construction.
2026-08-06 12:44:03,92320,Active,Route 3,CONSTRUCTION,Stop #12690 34th Ave & E Union St (SB) closed from 7:00 AM to 8:00 PM on Sat Aug 8 due to construction.
2026-08-06 12:44:03,92342,Active,"Route 101, Route 148, Route 153, Route 160, Route 102",CONSTRUCTION,Stop #59841 SR 515 & South Grady Way (WB) closed from Wed July 29 through Fri Oct 9 due to construction.
2026-08-06 12:44:03,92363,Active,Route 160,CONSTRUCTION,Stop #58180 Central Ave S & S 259th St (SB) relocated from Wed July 29 through Fri Oct 9 due to construction.
2026-08-06 12:44:03,92364,Active,Route 160,CONSTRUCTION,Stop #57990 Central Ave S & S 259th St (NB) relocated from Wed July 29 through Fri Oct 9 due to construction.
2026-08-06 12:44:03,92420,Active,Route 65,CONSTRUCTION,Route 65 is rerouted off 30th Ave NE between NE 127th St and NE 125th St through Sat Aug 29 due to construction.
2026-08-06 12:44:03,92495,Active,"Route 102, Route 101, Route 50, Route 150",CONSTRUCTION,Stop #99263 SODO Busway & S Lander St (SB) closed from 9:00 AM to 3:00 PM on Thu Aug 6 due to construction.
2026-08-06 12:44:03,92520,Active,Route 222,CONSTRUCTION,Stop #71260 NE 24th St & 173rd Ave NE (WB) closed from Tue Aug 4 at 7:00 AM to Wed Aug 12 at 5:00 PM due to construction.
2026-08-06 12:44:03,92526,Active,Route 106,OTHER_CAUSE,Stop #55210 Renton Ave S & 54th Ave S (NB) and Stop #56290 Renton Ave S & 54th Ave S (SB) closed from Sat Aug 1 through Fri Aug 28 due to permanent bus stop closure.
2026-08-06 12:44:03,92599,Active,Route 70,CONSTRUCTION,Stop #9480 Eastlake Ave E & E Howe St (NB) relocated from Thu Aug 6 through Fri Aug 14 due to construction.
2026-08-06 12:44:03,92644,Active,"Route 31, Route 32",CONSTRUCTION,Stop #18200 W Nickerson St & 8th Ave W (EB) and Stop #18650 W Nickerson St & 8th Ave W (WB) closed from 7:00 AM to 3:00 PM on Thu Aug 6 due to construction.
2026-08-06 12:44:03,92645,Active,Route 269,CONSTRUCTION,Stop #81871 228th Ave NE & 18th Pl NE (NB) relocated from Thu Aug 6 to Fri Aug 7 from 8:00 AM to 4:00 PM daily due to construction.
2026-08-06 12:44:03,92654,Active,"Route 75, Route 65",CONSTRUCTION,Stop #35230 NE 125th St & Lake City Way NE (WB) relocated from Wed Aug 5 through Mon Oct 5 due to construction.
2026-08-06 12:44:03,92724,Active,"Route 125, H Line, Route 56, Route 21, Route 57, C Line",CONSTRUCTION,Stop #481 3rd Ave & Columbia St (SB) closed from Thu Aug 6 at 7:00 AM to Thu Aug 13 at 5:00 PM weekdays daily due to construction.
2026-08-06 12:44:03,92807,Active,South Lake Union Streetcar,UNKNOWN_CAUSE,Service on the South Lake Union Streetcar is reduced with trips operating approximately every 18 minutes until further notice.
2026-08-06 12:44:03,92818,Active,Route 348,OTHER_CAUSE,Route 348 is rerouted in both directions off 15th Ave NE between NE 155th St and NE 165th St today due to a road closure.
2026-07-31 16:52:42,85376,Resolved,Route 160,CONSTRUCTION,Stop #59951 Talbot Rd S & S 32nd St (SB) and Stop #60359 Talbot Rd S & S 32nd St (NB) relocated through Sat Aug 1 due to construction.
2026-07-31 16:52:42,87734,Resolved,Route 75,CONSTRUCTION,Stop #35440 NE 125th St & 30th Ave NE (EB) relocated until further notice due to construction.
2026-07-31 16:52:42,88002,Resolved,Route 250,CONSTRUCTION,Stop #72180 State St S & 10th Ave S (NB) relocated Wed May 13 to Fri Jul 31 from 8:00 AM to 4:00 PM daily due to construction.
2026-07-31 16:52:42,88587,Resolved,Route 21,DEMONSTRATION,Route 21 will be affected in both directions after all Mariners home games; stops on portions of 1st Ave S will not be served; use alternate stops on 4th Ave S instead.
2026-07-31 16:52:42,88860,Resolved,Route 75,CONSTRUCTION,Stop #35420 NE 125th St & 25th Ave NE (EB) relocated through Sun Aug 2 due to construction.
2026-07-31 16:52:42,88979,Resolved,Route 160,MAINTENANCE,Stop #58270 Auburn Way N & 22nd St NE (SB) and Stop #57900 Auburn Way N & 22nd St NE (NB) relocated through Sat Aug 1 due to bus stop maintenance work.
2026-07-31 16:52:42,88980,Resolved,Route 160,MAINTENANCE,Stop #57407 104th Ave SE & SE 248th St (SB) and Stop #57162 104th Ave SE & SE 248th St (NB) relocated through Sat Aug 1 due to bus stop maintenance work.
2026-07-31 16:52:42,90818,Resolved,Route 156,CONSTRUCTION,Stop #80189 S 164th St & Military Rd S (WB) closed from Mon Jul 13 to Mon Aug 3 from 7:00 AM to 5:00 PM daily due to construction.
2026-07-31 16:52:42,91031,Resolved,Route 2,CONSTRUCTION,Stop #2600 6th Ave W & W Blaine St (SB) closed from Sat Jul 18 to Sun Aug 2 at 4:00 AM due to construction.
2026-07-31 16:52:42,91428,Resolved,Route 348,MAINTENANCE,Stop #39270 15th Ave NE & NE 130th St (NB) closed from Mon Jul 20 to Fri Jul 31 from 7:00 AM to 5:00 PM Weekdays only due to sidewalk repair.
2026-07-31 16:52:42,91510,Resolved,"Route 11, Route 3, Route 12, Route 49, Route 10",CONSTRUCTION,Stop #11133 Pike St & Minor Ave (EB) closed from Sat Aug 1 at 7:00 AM to Sun Aug 2 at 5:00 PM due to construction.
2026-07-31 16:52:42,91564,Resolved,"Route 256, Route 70, Route 322, Route 303",CONSTRUCTION,Stop #10305 Fairview Ave N & Harrison St (NB) relocated from Mon Jul 20 to Mon Aug 10 at 12:00 AM due to construction.
2026-07-31 16:52:42,91583,Resolved,C Line,CONSTRUCTION,Stop #19862 SW Alaska St & California Ave SW - Bay 1 (EB) closed from Mon Jul 27 to Fri Jul 31 from 7:00 AM to 5:00 PM daily due to construction.
2026-07-31 16:52:42,91721,Resolved,Route 271,CONSTRUCTION,Stop #65328 SE Eastgate Way & 158th Ave SE (EB) closed from Mon Jul 20 to Mon Aug 3 from 7:00 AM to 5:00 PM daily due to construction.
2026-07-31 16:52:42,91722,Resolved,Route 271,CONSTRUCTION,Stop #65329 SE Eastgate Way & 158th Ave SE (WB) closed from Mon Jul 20 to Mon Aug 3 from 7:00 AM to 5:00 PM daily due to construction.
2026-07-31 16:52:42,91914,Resolved,"Route 256, Route 231",CONSTRUCTION,Stop #70310 Juanita Woodinville Way NE & 115th Ave NE (NB) relocated from 8:00 AM to 4:00 PM on Fri Jul 31 due to construction.
2026-07-31 16:52:42,91915,Resolved,Route 31,DEMONSTRATION,Route 31 will be rerouted in Magnolia from 7:00 AM to 2:00 PM on Sat Aug 1 due to the Magnolia Summerfest Parade.
2026-07-31 16:52:42,91920,Resolved,Route 24,DEMONSTRATION,Route 24 will be rerouted in Magnolia from 7:00 AM to 2:00 PM on Sat Aug 1 due to the Magnolia Summerfest Parade.
2026-07-31 16:52:42,91926,Resolved,Route 1,CONSTRUCTION,Route 1 will be rerouted off Mercer St between 1st Ave N and 2nd Ave W from Sat Aug 1 at 7:00 AM to Sun Aug 2 at 5:00 PM due to construction.
2026-07-31 16:52:42,92015,Resolved,D Line,CONSTRUCTION,Stop #13721 15th Ave NW & NW Market St (SB) closed from 7:00 AM to 12:00 PM on Sat Aug 1 due to construction.
2026-07-31 16:52:42,92122,Resolved,Route 21,UNKNOWN_CAUSE,Route 21 to Westwood Village is serving Stop #30636 4th Ave S & I-90 Ramp (SB).
2026-07-31 16:52:42,92167,Resolved,"Route 43, Route 988, Route 48",CONSTRUCTION,Stop #29251 24th Ave E & E Galer St (SB) closed from Mon Jul 27 to Fri Jul 31 9:00 AM to 3:00 PM daily due to construction.
2026-07-31 16:52:42,92208,Resolved,"Route 28, Route 33, Route 40, Route 5, Route 57, Route 124, Route 56, Route 17, Route 24, Route 27, H Line, Route 62, Route 131, Route 132, Route 570, Route 21",CONSTRUCTION,Stop #590 3rd Ave & Pine St (NB) relocated from Thu Jul 30 to Wed Aug 5 7:00 AM to 5:00 PM weekdays only due to construction.
2026-07-31 16:52:42,92213,Resolved,"E Line, D Line, C Line, Route 57, Route 56, Route 21",CONSTRUCTION,"Stop #431 3rd Ave & Pike St (SB) closed Thu Jul 30 to Wed Aug 5 from 7:00 AM to 5:00 PM, weekdays only, due to construction."
2026-07-31 16:52:42,92215,Resolved,"Route 4, Route 70, E Line, D Line, Route 125, Route 13, Route 2, Route 3, C Line, Route 1, Route 7, Route 36, Route 14",CONSTRUCTION,Stop #558 3rd Ave & Seneca St (NB) closed from Thu Jul 30 to Wed Aug 5 7:00 AM to 5:00 PM weekdays only due to construction.
2026-07-31 16:52:42,92220,Resolved,Route 226,CONSTRUCTION,Stop #71661 SE 24th St & 161st Ave SE (EB) and Stop #71675 SE 24th St & 161st Ave SE (WB) relocated from Thu Jul 30 to Fri Jul 31 9:00 AM to 3:00 PM daily due to construction.
2026-07-31 16:52:42,92243,Resolved,Route 2,CONSTRUCTION,Stop #2970 E Union St & 27th Ave (WB) closed from Sat Aug 1 at 8:00 AM to Sun Aug 2 at 5:00 PM due to construction.
2026-07-31 16:52:42,92247,Resolved,"Route 4, Route 13",CONSTRUCTION,Stop #41350 W McGraw St & 3rd Ave W (WB) closed from 7:00 AM to 3:00 PM on Sat Aug 1 due to construction.
2026-07-31 16:52:42,92272,Resolved,"Route 44, Route 49, Route 70, Route 372",DEMONSTRATION,"Routes 44, 49, 70 and 372 will be rerouted in the University District from 8:00 AM to 8:00 PM on Sat Aug 1 during the Seattle Boba Fest."
